[Jujutsu Kaisen Vol 0, $7.68, IS, Amazon USA]
[Jujutsu Kaisen Vol 7, $8.89, IS, Amazon USA]
[Jujutsu Kaisen Vol 8, $9.58, IS, Amazon USA]
[Jujutsu Kaisen Vol 9, $8.89, IS, Amazon USA]
[Jujutsu Kaisen Vol 10, $8.39, IS, Amazon USA]
[Jujutsu Kaisen Vol 11, $8.99, IS, Amazon USA]
[Jujutsu Kaisen Vol 12, $9.59, IS, Amazon USA]
[Jujutsu Kaisen Vol 13, $7.69, IS, Amazon USA]
[Jujutsu Kaisen Vol 14, $7.98, IS, Amazon USA]
[Jujutsu Kaisen Vol 15, $7.68, IS, Amazon USA]
[Jujutsu Kaisen Vol 16, $7.68, IS, Amazon USA]
[Jujutsu Kaisen Vol 17, $7.99, IS, Amazon USA]
[Jujutsu Kaisen Vol 18, $7.68, IS, Amazon USA]
[Jujutsu Kaisen Vol 19, $9.99, PO, Amazon USA]
[Jujutsu Kaisen Vol 20, $9.99, PO, Amazon USA]
[Jujutsu Kaisen Vol 21, $9.99, PO, Amazon USA]
