[World Trigger Vol 1, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 2, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 3, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 4, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 5, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 6, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 7, $2.00, IS, BarnesAndNoble]
[World Trigger Vol 8, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 9, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 10, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 11, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 12, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 13, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 14, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 15, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 16, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 17, $2.00, IS, BarnesAndNoble]
[World Trigger Vol 18, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 19, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 20, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 21, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 22, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 24, $9.99, IS, BarnesAndNoble]
[World Trigger Vol 25, $9.99, PO, BarnesAndNoble]
