[Jujutsu Kaisen Vol 0, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 1, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 2, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 3, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 4, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 5, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 6, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 7, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 8, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 9, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 10, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 11, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 12, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 13, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 14, $8.77, IS, BooksAMillion]
[Jujutsu Kaisen Vol 15, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 16, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 17, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 18, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 19, $8.99, IS, BooksAMillion]
[Jujutsu Kaisen Vol 20, $8.99, PO, BooksAMillion]
[Jujutsu Kaisen Vol 21, $10.79, PO, BooksAMillion]
