[World Trigger Vol 1, $8.99, OOS, KinokuniyaUSA]
[World Trigger Vol 2, $8.99, OOS, KinokuniyaUSA]
[World Trigger Vol 4, $8.99, OOS, KinokuniyaUSA]
[World Trigger Vol 5, $8.99, OOS, KinokuniyaUSA]
[World Trigger Vol 6, $8.99, OOS, KinokuniyaUSA]
[World Trigger Vol 8, $8.99, IS, KinokuniyaUSA]
[World Trigger Vol 9, $8.99, OOS, KinokuniyaUSA]
[World Trigger Vol 10, $8.99, IS, KinokuniyaUSA]
[World Trigger Vol 11, $8.99, IS, KinokuniyaUSA]
[World Trigger Vol 12, $8.99, OOS, KinokuniyaUSA]
[World Trigger Vol 13, $4.00, OOS, KinokuniyaUSA]
[World Trigger Vol 14, $8.99, OOS, KinokuniyaUSA]
[World Trigger Vol 15, $8.99, OOS, KinokuniyaUSA]
[World Trigger Vol 16, $8.99, OOS, KinokuniyaUSA]
[World Trigger Vol 17, $8.99, OOS, KinokuniyaUSA]
[World Trigger Vol 18, $8.99, OOS, KinokuniyaUSA]
[World Trigger Vol 19, $8.99, OOS, KinokuniyaUSA]
[World Trigger Vol 21, $8.99, OOS, KinokuniyaUSA]
[World Trigger Vol 22, $8.99, IS, KinokuniyaUSA]
[World Trigger Vol 23, $4.00, IS, KinokuniyaUSA]
[World Trigger Vol 24, $8.99, IS, KinokuniyaUSA]
