[World Trigger Vol 1, $7.99, IS, RightStufAnime]
[World Trigger Vol 2, $7.99, IS, RightStufAnime]
[World Trigger Vol 3, $7.99, IS, RightStufAnime]
[World Trigger Vol 4, $7.99, OOS, RightStufAnime]
[World Trigger Vol 5, $7.99, IS, RightStufAnime]
[World Trigger Vol 6, $7.99, IS, RightStufAnime]
[World Trigger Vol 7, $7.99, OOS, RightStufAnime]
[World Trigger Vol 8, $7.99, IS, RightStufAnime]
[World Trigger Vol 9, $7.99, IS, RightStufAnime]
[World Trigger Vol 10, $7.99, IS, RightStufAnime]
[World Trigger Vol 11, $7.99, IS, RightStufAnime]
[World Trigger Vol 12, $7.99, IS, RightStufAnime]
[World Trigger Vol 13, $7.99, IS, RightStufAnime]
[World Trigger Vol 14, $7.99, IS, RightStufAnime]
[World Trigger Vol 15, $7.99, IS, RightStufAnime]
[World Trigger Vol 16, $7.99, IS, RightStufAnime]
[World Trigger Vol 17, $7.99, IS, RightStufAnime]
[World Trigger Vol 18, $7.99, OOS, RightStufAnime]
[World Trigger Vol 19, $7.99, OOS, RightStufAnime]
[World Trigger Vol 20, $7.99, OOS, RightStufAnime]
[World Trigger Vol 21, $7.99, IS, RightStufAnime]
[World Trigger Vol 22, $7.99, IS, RightStufAnime]
[World Trigger Vol 23, $7.99, IS, RightStufAnime]
[World Trigger Vol 24, $7.99, IS, RightStufAnime]
[World Trigger Vol 25, $7.99, PO, RightStufAnime]
